"species","latitude","longitude","date_obs","source"
"Libellula depressa",46.92859,7.40581,2024-05-25,"gbif"
"Libellula depressa",47.23944,8.39616,2024-05-24,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-14,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-28,"gbif"
"Libellula depressa",47.41932,8.3994,2024-05-19,"gbif"
"Libellula depressa",46.92859,7.40581,2024-05-12,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-14,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-14,"gbif"
"Libellula depressa",47.19447,8.39536,2024-05-28,"gbif"
"Libellula depressa",47.19447,8.39536,2024-05-28,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-28,"gbif"
"Libellula depressa",46.92859,7.40581,2024-05-20,"gbif"
"Libellula depressa",46.92859,7.40581,2024-05-25,"gbif"
"Libellula depressa",47.19447,8.39536,2024-05-28,"gbif"
"Libellula depressa",46.92859,7.40581,2024-05-12,"gbif"
"Libellula depressa",46.92859,7.40581,2024-05-18,"gbif"
"Libellula depressa",47.41932,8.3994,2024-05-25,"gbif"
"Libellula depressa",47.55741,7.87042,2024-05-14,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-14,"gbif"
"Libellula depressa",47.1933,8.5273,2024-05-28,"gbif"
"Libellula depressa",46.29182,6.17335,2024-05-12,"gbif"
"Libellula depressa",46.79117,6.68554,2024-05-18,"gbif"
"Libellula depressa",46.29787,7.92533,2024-05-19,"gbif"
"Libellula depressa",47.5557,8.20256,2024-05-28,"gbif"
"Libellula depressa",47.23827,8.52822,2024-05-20,"gbif"
"Libellula depressa",47.51286,7.73731,2024-05-07,"gbif"
"Libellula depressa",46.29787,7.92533,2024-05-30,"gbif"
"Libellula depressa",47.5908,9.13381,2024-05-12,"gbif"
"Libellula depressa",47.51286,7.73731,2024-05-07,"gbif"
"Libellula depressa",46.15538,6.04706,2024-05-25,"gbif"
"Libellula depressa",46.29182,6.17335,2024-05-28,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-13,"gbif"
"Libellula depressa",47.46618,8.13496,2024-05-14,"gbif"
"Libellula depressa",47.37112,8.72955,2024-05-10,"gbif"
"Libellula depressa",47.46311,8.53282,2024-05-18,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-29,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-26,"gbif"
"Libellula depressa",47.01748,6.94541,2024-05-26,"gbif"
"Libellula depressa",47.55524,8.26899,2024-05-11,"gbif"
"Libellula depressa",46.15538,6.04706,2024-05-19,"gbif"
"Libellula depressa",47.37112,8.72955,2024-05-20,"gbif"
"Libellula depressa",46.15538,6.04706,2024-05-22,"gbif"
"Libellula depressa",47.64163,8.6696,2024-05-14,"gbif"
"Libellula depressa",47.50526,8.79919,2024-05-16,"gbif"
"Libellula depressa",47.01816,7.1427,2024-05-28,"gbif"
"Libellula depressa",46.1636,7.14736,2024-05-12,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-28,"gbif"
"Libellula depressa",46.79328,7.14394,2024-05-26,"gbif"
"Libellula depressa",46.97149,6.74871,2024-05-28,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-29,"gbif"
"Libellula depressa",47.50526,8.79919,2024-05-14,"gbif"
